id,summary,column_name,title,cover,published_at,extraction_tags,favourite_num
5159664,顶配iPad Pro售价将达到15299元。,8点1氪,8点1氪 | 苹果发布全面屏iPad Pro和Retina屏MacBook Air；百度三季度盈利增长放缓；美团上市后首次架构调整,https://pic.36krcnd.com/201810/30231301/wffk699mvejqcvbt!heading,2018-10-31T07:31:19+08:00,"[[""大公司"",1],[""金融"",1],[""投资"",1],[""苹果"",2],[""特斯拉"",2],[""任天堂"",2],[""消费金融"",2],[""阿里巴巴"",2]]",0
5159225,将分散的中小微制造企业，汇聚成强大的生产资源池，统一向外输出产能。,产业升级,用工业物联网汇聚分散加工厂，「锱云物联」想做制造业“滴滴”,https://pic.36krcnd.com/201810/28092540/2zv7hsefx3bm5pel!heading,2018-10-31T07:31:04+08:00,"[[""企业服务"",1],[""工业4.0"",1],[""物联网"",1],[""云天使基金"",2],[""富士康"",2],[""运维"",2]]",0
5156959,设身处地想一下，你想要的社区团购是什么样？,消费,社区不止团购，「松鼠邻家」试水了生活服务和会员制电商,https://pic.36krcnd.com/201810/30072745/8qpuje3sjpaokibk!heading,2018-10-31T07:30:04+08:00,"[[""社交"",1],[""消费"",1],[""小程序"",1],[""社群"",2],[""微信"",2],[""社区"",2]]",0
5159653,​To G难以复用、to B不好赚钱，to C需要补贴，AI公司究竟怎么赚钱？,人工智能,焦点分析 | 科大讯飞：一家做大量政府订单的AI公司，能否做好商业化？,https://pic.36krcnd.com/201810/30104614/rwubuqjszcuriogg!heading,2018-10-31T07:20:04+08:00,"[[""人工智能"",1],[""物联网"",1],[""大公司"",1],[""机器人"",2],[""智慧城市"",2],[""百度"",2],[""语音识别"",2],[""华为"",2]]",0
5159691,广告营销人的误区常常是过度重视广告营销活动本身，而不在意广告营销活动所处的社会背景。,内容,营销观察 | 不涂口红就是男人？除了京东，在广告上犯“蠢”的品牌还真不少,https://pic.36krcnd.com/201810/30170743/sp4zov85iews8ypn!heading,2018-10-31T07:13:01+08:00,"[[""消费"",1],[""大公司"",1],[""企业服务"",1],[""美妆"",2],[""京东"",2],[""广告营销"",2],[""快递"",2],[""网易"",2]]",0
5159695,百度盘后股价涨跌互现。,大公司,业绩快报｜百度Q3营收282亿元，为爱奇艺付的钱占近四分之一,https://pic.36krcnd.com/201810/30205226/uxeic7qjveb4sphg!heading,2018-10-31T07:05:22+08:00,"[[""大公司"",1]]",0
5159696,苹果不愿意看到赖以起家的电脑，和已经卖了4亿部的iPad沦为边缘化产品。,手机与硬件,“老将”翻身激活购买欲，苹果解放生产力,https://pic.36krcnd.com/201810/30211051/og8u17n1trkivz6t!heading,2018-10-31T05:14:10+08:00,"[[""大公司"",1],[""苹果"",2],[""芯片"",2],[""硬件"",2],[""艺术"",2]]",0
22311,个人电脑发展的起点，是被一群技术宅的热爱所驱动改变的。是哪一个车库里诞生的产品奠定了如今的电脑形态？为什么说电脑史上，1984 will never be 1984 again？乔布斯、盖茨，这些曾经的小人物是如何凭借自己的热爱成为big man的？尽在第三期 ZEALER|科技相对论。,科技·氪视频,为发烧而生：个人电脑诞生记（上）,https://pic.36krcnd.com/201810/30033543/mvsm98r7u5urj04u!heading,2018-10-30T23:01:06+08:00,"[[""前沿科技"",1]]",0
5159643,你喜欢新款的iPad吗？,手机与硬件,最前线 | 首款搭载Face ID的iPad来了，顶配售价超过15000元,https://pic.36krcnd.com/201810/30121343/7u23bmtegi2g3lnf!heading,2018-10-30T22:57:20+08:00,"[[""大公司"",1],[""人工智能"",1],[""文娱"",1],[""苹果"",2],[""谷歌"",2],[""微软"",2],[""芯片"",2],[""音乐"",2]]",0
22170,我的两次人生选择，第一次离开阿里，再加上两年之后重新回到阿里，其实从来没有变过，为的都是同一件事情，就是把互联网安全做彻底。,科技·氪视频,阿里云首席安全研究员吴翰清：我人生的两大选择，为的都是同一件事,https://pic.36krcnd.com/201810/29104651/nbjw4giwolaehx40!heading,2018-10-30T22:31:06+08:00,"[[""消费"",1],[""大公司"",1],[""媒体"",1],[""电商"",1],[""教育"",1],[""企业服务"",1],[""前沿科技"",1],[""人工智能"",1],[""智能硬件"",1],[""人物"",1]]",0
5159629,今年的车市，遭遇了近三十年来汽车产业最大的寒冬。,汽车交通,2018，车企的冰与火之歌,https://pic.36krcnd.com/201810/30094209/on4cbdin1s0b7s18!heading,2018-10-30T22:22:13+08:00,"[[""前沿科技"",1],[""大公司"",1],[""社交"",1],[""新能源"",2],[""微信"",2],[""奥迪"",2],[""宝马"",2],[""特斯拉"",2]]",0
